wwtp,bin,count,bin_left,bin_right,bin_mid,mean_value,median_value,process
north,9,246370,0.45,0.5,0.47500000000000003,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,3,437669,0.15000000000000002,0.2,0.17500000000000002,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,2,414736,0.1,0.15000000000000002,0.125,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,5,315378,0.25,0.30000000000000004,0.275,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,12,100519,0.6000000000000001,0.65,0.625,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,8,244640,0.4,0.45,0.42500000000000004,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,14,67284,0.7000000000000001,0.75,0.7250000000000001,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,7,251485,0.35000000000000003,0.4,0.375,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,6,423783,0.30000000000000004,0.35000000000000003,0.325,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,4,297774,0.2,0.25,0.225,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,1,724871,0.05,0.1,0.07500000000000001,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,19,108768,0.9500000000000001,1,0.9750000000000001,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,10,133816,0.5,0.55,0.525,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,11,113646,0.55,0.6000000000000001,0.5750000000000001,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,0,4500,0,0.05,0.025,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,18,44996,0.9,0.9500000000000001,0.925,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,17,54580,0.8500000000000001,0.9,0.875,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,15,60662,0.75,0.8,0.775,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,13,85193,0.65,0.7000000000000001,0.675,0.332586617477583,0.2863700177041028,Settling / Resuspension
north,16,59830,0.8,0.8500000000000001,0.8250000000000001,0.332586617477583,0.2863700177041028,Settling / Resuspension
south,1,213438,0.05,0.1,0.07500000000000001,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,13,16744,0.65,0.7000000000000001,0.675,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,7,37062,0.35000000000000003,0.4,0.375,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,0,436359,0,0.05,0.025,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,6,43852,0.30000000000000004,0.35000000000000003,0.325,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,14,15060,0.7000000000000001,0.75,0.7250000000000001,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,19,19788,0.9500000000000001,1,0.9750000000000001,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,12,14664,0.6000000000000001,0.65,0.625,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,3,29715,0.15000000000000002,0.2,0.17500000000000002,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,11,12923,0.55,0.6000000000000001,0.5750000000000001,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,9,38781,0.45,0.5,0.47500000000000003,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,2,35846,0.1,0.15000000000000002,0.125,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,5,18780,0.25,0.30000000000000004,0.275,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,8,28767,0.4,0.45,0.42500000000000004,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,4,17887,0.2,0.25,0.225,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,10,21807,0.5,0.55,0.525,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,16,8139,0.8,0.8500000000000001,0.8250000000000001,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,18,5075,0.9,0.9500000000000001,0.925,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,15,9886,0.75,0.8,0.775,0.18707079442995755,0.05776392926312057,Settling / Resuspension
south,17,5927,0.8500000000000001,0.9,0.875,0.18707079442995755,0.05776392926312057,Settling / Resuspension
west,9,13319,0.45,0.5,0.47500000000000003,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,0,156573,0,0.05,0.025,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,1,123611,0.05,0.1,0.07500000000000001,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,2,49237,0.1,0.15000000000000002,0.125,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,5,15535,0.25,0.30000000000000004,0.275,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,11,15671,0.55,0.6000000000000001,0.5750000000000001,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,10,10699,0.5,0.55,0.525,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,13,8848,0.65,0.7000000000000001,0.675,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,6,47208,0.30000000000000004,0.35000000000000003,0.325,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,19,22979,0.9500000000000001,1,0.9750000000000001,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,18,11103,0.9,0.9500000000000001,0.925,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,8,12108,0.4,0.45,0.42500000000000004,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,7,24631,0.35000000000000003,0.4,0.375,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,16,12017,0.8,0.8500000000000001,0.8250000000000001,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,15,10617,0.75,0.8,0.775,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,3,34137,0.15000000000000002,0.2,0.17500000000000002,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,12,13967,0.6000000000000001,0.65,0.625,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,14,8566,0.7000000000000001,0.75,0.7250000000000001,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,17,11180,0.8500000000000001,0.9,0.875,0.2659913466371746,0.1137016534473656,Settling / Resuspension
west,4,15994,0.2,0.25,0.225,0.2659913466371746,0.1137016534473656,Settling / Resuspension
north,0,2640267,0,0.05,0.025,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,1,1089635,0.05,0.1,0.07500000000000001,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,3,113191,0.15000000000000002,0.2,0.17500000000000002,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,2,294449,0.1,0.15000000000000002,0.125,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,4,30259,0.2,0.25,0.225,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,5,9979,0.25,0.30000000000000004,0.275,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,6,5833,0.30000000000000004,0.35000000000000003,0.325,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,7,3064,0.35000000000000003,0.4,0.375,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,13,211,0.65,0.7000000000000001,0.675,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,12,74,0.6000000000000001,0.65,0.625,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,8,1311,0.4,0.45,0.42500000000000004,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,14,442,0.7000000000000001,0.75,0.7250000000000001,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,15,505,0.75,0.8,0.775,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,9,697,0.45,0.5,0.47500000000000003,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,11,62,0.55,0.6000000000000001,0.5750000000000001,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,17,27,0.8500000000000001,0.9,0.875,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,16,228,0.8,0.8500000000000001,0.8250000000000001,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
north,10,266,0.5,0.55,0.525,0.05012120439627907,0.03716166177015495,Biofilm Adsorption
south,0,782431,0,0.05,0.025,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,1,163709,0.05,0.1,0.07500000000000001,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,5,5142,0.25,0.30000000000000004,0.275,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,3,13109,0.15000000000000002,0.2,0.17500000000000002,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,2,51863,0.1,0.15000000000000002,0.125,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,4,7979,0.2,0.25,0.225,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,7,1225,0.35000000000000003,0.4,0.375,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,6,2222,0.30000000000000004,0.35000000000000003,0.325,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,11,266,0.55,0.6000000000000001,0.5750000000000001,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,8,936,0.4,0.45,0.42500000000000004,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,9,746,0.45,0.5,0.47500000000000003,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,12,205,0.6000000000000001,0.65,0.625,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,10,494,0.5,0.55,0.525,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,14,36,0.7000000000000001,0.75,0.7250000000000001,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,13,133,0.65,0.7000000000000001,0.675,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
south,15,4,0.75,0.8,0.775,0.04110744352685168,0.025564963919949335,Biofilm Adsorption
west,0,427780,0,0.05,0.025,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,1,114268,0.05,0.1,0.07500000000000001,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,2,38237,0.1,0.15000000000000002,0.125,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,4,10128,0.2,0.25,0.225,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,3,19173,0.15000000000000002,0.2,0.17500000000000002,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,5,4412,0.25,0.30000000000000004,0.275,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,8,314,0.4,0.45,0.42500000000000004,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,6,2378,0.30000000000000004,0.35000000000000003,0.325,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,9,211,0.45,0.5,0.47500000000000003,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,7,778,0.35000000000000003,0.4,0.375,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,10,211,0.5,0.55,0.525,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,12,19,0.6000000000000001,0.65,0.625,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,11,90,0.55,0.6000000000000001,0.5750000000000001,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
west,13,1,0.65,0.7000000000000001,0.675,0.04894082624473276,0.02845826990138106,Biofilm Adsorption
north,0,2605659,0,0.05,0.025,0.06454269560621759,0.029890767185175193,Biodegradation
