wwtp,part.class,bin,count,level,bin_left,bin_right,bin_mid
south,6,3,2800,Pipe,0.15000000000000002,0.2,0.17500000000000002
south,8,6,1350,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,8,18,4828,Pipe,0.9,0.9500000000000001,0.925
south,3,6,4254,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,8,4,955,Pipe,0.2,0.25,0.225
south,4,1,6134,Pipe,0.05,0.1,0.07500000000000001
south,5,3,5276,Pipe,0.15000000000000002,0.2,0.17500000000000002
south,6,9,3396,Pipe,0.45,0.5,0.47500000000000003
south,7,18,8648,Pipe,0.9,0.9500000000000001,0.925
south,7,11,1884,Pipe,0.55,0.6000000000000001,0.5750000000000001
south,6,18,11435,Pipe,0.9,0.9500000000000001,0.925
south,1,6,3040,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,2,19,45036,Pipe,0.9500000000000001,1,0.9750000000000001
south,3,19,101408,Pipe,0.9500000000000001,1,0.9750000000000001
north,1,5,31592,Pipe,0.25,0.30000000000000004,0.275
south,3,1,5755,Pipe,0.05,0.1,0.07500000000000001
south,4,5,3672,Pipe,0.25,0.30000000000000004,0.275
south,5,10,4120,Pipe,0.5,0.55,0.525
south,6,17,7598,Pipe,0.8500000000000001,0.9,0.875
north,3,7,32127,Pipe,0.35000000000000003,0.4,0.375
north,3,4,33710,Pipe,0.2,0.25,0.225
north,2,11,27005,Pipe,0.55,0.6000000000000001,0.5750000000000001
north,2,18,62660,Pipe,0.9,0.9500000000000001,0.925
north,3,11,31686,Pipe,0.55,0.6000000000000001,0.5750000000000001
north,2,14,31029,Pipe,0.7000000000000001,0.75,0.7250000000000001
south,2,6,4090,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,3,15,4308,Pipe,0.75,0.8,0.775
south,7,7,1374,Pipe,0.35000000000000003,0.4,0.375
south,4,12,3928,Pipe,0.6000000000000001,0.65,0.625
south,5,18,15493,Pipe,0.9,0.9500000000000001,0.925
north,1,6,26385,Pipe,0.30000000000000004,0.35000000000000003,0.325
north,4,16,50376,Pipe,0.8,0.8500000000000001,0.8250000000000001
north,3,15,37317,Pipe,0.75,0.8,0.775
west,1,0,546321,Pipe,0,0.05,0.025
west,2,0,497694,Pipe,0,0.05,0.025
west,3,0,451901,Pipe,0,0.05,0.025
west,4,0,405699,Pipe,0,0.05,0.025
west,5,0,355002,Pipe,0,0.05,0.025
west,6,0,315662,Pipe,0,0.05,0.025
west,7,0,288047,Pipe,0,0.05,0.025
west,8,19,340485,Pipe,0.9500000000000001,1,0.9750000000000001
west,7,4,664,Pipe,0.2,0.25,0.225
west,8,13,904,Pipe,0.65,0.7000000000000001,0.675
west,3,1,5430,Pipe,0.05,0.1,0.07500000000000001
west,4,6,2412,Pipe,0.30000000000000004,0.35000000000000003,0.325
west,5,10,2390,Pipe,0.5,0.55,0.525
west,6,17,3873,Pipe,0.8500000000000001,0.9,0.875
west,7,19,312832,Pipe,0.9500000000000001,1,0.9750000000000001
west,4,5,2487,Pipe,0.25,0.30000000000000004,0.275
west,5,9,2263,Pipe,0.45,0.5,0.47500000000000003
west,6,15,2344,Pipe,0.75,0.8,0.775
north,7,1,5835,Pipe,0.05,0.1,0.07500000000000001
north,8,9,6310,Pipe,0.45,0.5,0.47500000000000003
north,6,1,23977,Pipe,0.05,0.1,0.07500000000000001
north,7,8,11153,Pipe,0.4,0.45,0.42500000000000004
north,8,16,14857,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,8,0,265626,Pipe,0,0.05,0.025
north,7,14,17985,Pipe,0.7000000000000001,0.75,0.7250000000000001
north,3,16,42261,Pipe,0.8,0.8500000000000001,0.8250000000000001
north,1,2,46322,Pipe,0.1,0.15000000000000002,0.125
north,2,17,46099,Pipe,0.8500000000000001,0.9,0.875
north,1,3,39541,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,2,16,37988,Pipe,0.8,0.8500000000000001,0.8250000000000001
north,2,12,28144,Pipe,0.6000000000000001,0.65,0.625
west,4,1,2360,Pipe,0.05,0.1,0.07500000000000001
west,5,3,2422,Pipe,0.15000000000000002,0.2,0.17500000000000002
west,6,8,971,Pipe,0.4,0.45,0.42500000000000004
west,7,17,1848,Pipe,0.8500000000000001,0.9,0.875
north,7,5,9560,Pipe,0.25,0.30000000000000004,0.275
north,8,11,7473,Pipe,0.55,0.6000000000000001,0.5750000000000001
west,4,19,157631,Pipe,0.9500000000000001,1,0.9750000000000001
west,5,19,216283,Pipe,0.9500000000000001,1,0.9750000000000001
west,6,19,271092,Pipe,0.9500000000000001,1,0.9750000000000001
north,6,6,20780,Pipe,0.30000000000000004,0.35000000000000003,0.325
north,6,3,22189,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,7,13,15257,Pipe,0.65,0.7000000000000001,0.675
north,2,2,52090,Pipe,0.1,0.15000000000000002,0.125
north,3,5,33171,Pipe,0.25,0.30000000000000004,0.275
north,8,3,2889,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,8,17,20784,Pipe,0.8500000000000001,0.9,0.875
north,1,10,16669,Pipe,0.5,0.55,0.525
north,7,16,23748,Pipe,0.8,0.8500000000000001,0.8250000000000001
north,8,18,34670,Pipe,0.9,0.9500000000000001,0.925
north,4,14,38285,Pipe,0.7000000000000001,0.75,0.7250000000000001
north,7,2,6818,Pipe,0.1,0.15000000000000002,0.125
north,8,7,5118,Pipe,0.35000000000000003,0.4,0.375
north,8,1,4621,Pipe,0.05,0.1,0.07500000000000001
north,8,14,11147,Pipe,0.7000000000000001,0.75,0.7250000000000001
