wwtp,fate_process,node_id,n,mean_loss_percent,median_loss_percent,q05_loss_percent,q25_loss_percent,q75_loss_percent,q95_loss_percent,model_version
North,Biofilm Adsorption + Biodegradation,320X0000319.1,500,10.063672675040076,7.9033047287988545,4.669700687863804,5.907359291183126,12.487839487613671,23.44549760540439,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000320.1,500,10.032136846178755,7.8757054717105754,4.646663353896962,5.880460358731853,12.450470572724761,23.397733037577563,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000321.1,500,9.758251277768935,7.635594983048094,4.4447924367619525,5.636151835250367,12.164434187116138,22.988006257696533,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000322.1,500,9.834531893597113,7.702467988349915,4.501016087934731,5.705981100924437,12.239572472188357,23.102032389586626,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000327.1,500,5.939364180193423,4.206113523313193,1.847482262017019,2.5221405717454153,7.991664646987658,16.576042556673027,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000328.1,500,5.921795412929495,4.190853040049586,1.8352723588256226,2.510930188267371,7.973075873590355,16.546333255957386,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000329.1,500,5.696197074971413,3.971528993868234,1.6689549369153767,2.325047140703421,7.734345494258933,16.164303086733156,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000330.1,500,5.66314183997047,3.941149013068612,1.643921745868277,2.298112249989956,7.699373247226723,16.10828425497288,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000331.1,500,5.320167237968908,3.6204886814065693,1.3978587209503979,1.9998390030819326,7.316586020398086,15.524027053560014,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0000332.1,500,5.358961096251778,3.6569948461304347,1.4267770942197278,2.033351821472218,7.361916262257318,15.591917822518344,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0001590.1,500,6.400795893482638,4.490730904930529,1.906692692644803,2.6455193258745933,8.691360272032949,18.038901079692547,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0001592.1,500,4.134775917670369,2.6977617490805352,0.8779229324052501,1.3098138226573046,5.767676883203124,12.689402600837136,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0001602.1,500,4.102430683252931,2.6847730780004686,0.8925666405307137,1.3199973933866072,5.7155437479889954,12.539947928090191,Daily-averaged
North,Biofilm Adsorption + Biodegradation,320X0001603.1,500,4.148398355342132,2.7252707999918027,0.9246334189295592,1.3573161326818601,5.773551686191681,12.619970507407746,Daily-averaged
North,Biofilm Adsorption + Biodegradation,328X0000483.1,500,2.958152850139702,2.1470129937095628,1.076648266930516,1.4137657607702914,3.7919545399079047,7.8553033971877975,Daily-averaged
North,Biofilm Adsorption + Biodegradation,337X0000528.1,500,11.545036368098046,8.666738075565044,4.242524952633051,5.627143602349355,15.15359008986538,29.610936015270113,Daily-averaged
North,Biofilm Adsorption + Biodegradation,337X0000529.1,500,11.500382242792051,8.628285311812839,4.2084566786398625,5.584921339526065,15.107121297735311,29.550335375439833,Daily-averaged
North,Biofilm Adsorption + Biodegradation,337X0000535.1,500,10.569027689788674,9.282257837366398,6.4100225632901875,7.834597018427367,12.024590601452054,20.247520471804542,Daily-averaged
North,Biofilm Adsorption + Biodegradation,337X0000536.1,500,7.163735759789624,5.677673376434833,3.5428421764541334,4.4677795244018235,8.706464667423301,16.130586180173058,Daily-averaged
North,Biofilm Adsorption + Biodegradation,342X0000649.1,500,16.173608166764883,13.886369966691419,9.221868058381052,11.330345183919865,19.04639198983488,32.38944002857332,Daily-averaged
North,Biofilm Adsorption + Biodegradation,342X0000654.1,500,11.049066758017862,9.6832044857209425,6.636418380027551,8.130068830506247,12.5981906741969,21.37508001853741,Daily-averaged
North,Biofilm Adsorption + Biodegradation,342X0000655.1,500,11.014321935121261,9.65110753985028,6.610408548488616,8.099685317752334,12.560084605329532,21.323134610756547,Daily-averaged
North,Biofilm Adsorption + Biodegradation,343X0000678.1,500,9.625571707115522,8.24837099944541,5.521501313713326,6.795729827795952,11.139651823902176,19.426019144027613,Daily-averaged
North,Biofilm Adsorption + Biodegradation,343X0000683.1,500,4.853974130910591,3.5105719399242674,1.657713094326115,2.2081149765135977,6.334419398834296,13.131383858280197,Daily-averaged
North,Biofilm Adsorption + Biodegradation,344X0000708.1,500,4.177542306800627,2.893913510161128,1.2263545470087707,1.7018716143154589,5.638902633719836,11.921031102696439,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000768.1,500,3.900288334616218,2.653627391331187,1.0585095943338507,1.4967600217216077,5.321170410376774,11.369727417684174,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000769.1,500,3.939136558754792,2.6893363288225727,1.0815449645223418,1.5333102022784455,5.36690615552872,11.44114379950653,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000806.1,500,5.040685417209508,3.646983968188755,1.7202961512268211,2.2898579057976045,6.584598250754226,13.634795459712008,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000807.1,500,5.081210723406659,3.6816787468630263,1.7452450315479517,2.3271579171296075,6.62751939735701,13.701366962019092,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000845.1,500,6.346195559970513,4.6991016788221875,2.4147766726217825,3.1387329331656613,8.151686561911298,16.402695162900198,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000846.1,500,6.358417643196907,4.71051522171565,2.4239877983612668,3.148331810585922,8.164885050872645,16.422457700833963,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000847.1,500,4.031111604333216,2.7266258294129484,1.0597577992755065,1.5119819754068842,5.518088254357769,11.824322067979123,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000848.1,500,8.517362177305408,6.5072156132799925,3.5656260950768797,4.570417181090291,10.830968921236469,21.015192680103432,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000849.1,500,17.310238476451023,13.717468889427554,7.652635363652107,9.749490175409015,22.226871006459838,40.38811376326565,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000850.1,500,17.296258745950283,13.704233349242323,7.642509710926115,9.738629932326292,22.21052934284201,40.368888181617464,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000851.1,500,17.274967641281588,13.684100059914979,7.627146484069666,9.72212970445245,22.18560739481175,40.33943714916933,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000852.1,500,17.260487380857704,13.670428919354428,7.616749509316022,9.710943181746638,22.168627862594633,40.319255726156946,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000853.1,500,17.242768371313183,13.653726636462455,7.6040905830234244,9.697298107666548,22.14781384446584,40.2943742136229,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000854.1,500,8.493032008086622,6.4874531405953615,3.5538939183643428,4.556023315274932,10.800146963315225,20.961455207813422,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000855.1,500,8.46309923183255,6.460537840927355,3.5343242634271985,4.534610767333897,10.764498807388591,20.911833417022393,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000856.1,500,8.459850495492233,6.457613050618239,3.5321932093921444,4.532281708475358,10.76063289976315,20.906470323901367,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000864.1,500,6.587071956585259,4.951743255888196,2.6540042207728654,3.4120513521172873,8.382501892972613,16.651410492584986,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000865.1,500,6.62407539760833,4.987223158619803,2.683824198247794,3.4442300109713995,8.425616814177388,16.706516951812187,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000876.1,500,5.559210814276149,4.091796863174412,2.0806135087308015,2.718455837356112,7.14587620374855,14.492915813405904,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000877.1,500,5.551663600673682,4.0851141216974804,2.074555885551794,2.7122515218964693,7.137967184629382,14.4815655971658,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000890.1,500,6.588335956762772,4.955450148010299,2.6602165088541287,3.4174384720442905,8.38236741912776,16.640627338241014,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000891.1,500,6.645077314034644,5.010005593844996,2.7044942899142788,3.4681056897779117,8.448381398786012,16.72436284742779,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000892.1,500,6.663631901870469,5.027854099780161,2.71803452854338,3.4855808240665835,8.469961993695762,16.7516981633115,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000893.1,500,6.671838560910777,5.035735378685569,2.723874038850887,3.493281824274466,8.479515398607209,16.763854585078114,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000894.1,500,6.934994971537583,5.281210298639067,2.9093428150172085,3.728074242386692,8.786584455932179,17.15947030718208,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000895.1,500,6.926195646676045,5.273107908432511,2.903180923707984,3.720190624058675,8.776300621028572,17.14611266988521,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000920.1,500,11.135194312256667,8.894784361488034,5.492140673677196,6.93427786943904,13.629650440246806,24.887363545989125,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000926.1,500,5.50803287709253,4.008673451336247,1.9265527615945077,2.5669237340674194,7.163692768437404,14.707153460311043,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000927.1,500,5.444587224003416,3.95557720045368,1.8853638174782377,2.514384215769694,7.096994267911257,14.61101089035501,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0000928.1,500,17.580428457193012,13.972558485063363,7.846556514813836,9.981085199011611,22.543754530117063,40.76480299735906,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001868.1,500,36.213404096055626,31.01813209178505,18.115903802742256,22.726363348188464,46.931839128421544,72.90790144744732,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001872.1,500,33.71335074843738,28.378228743326616,15.778480008709389,20.002480180731368,44.30031574134913,70.7298390754162,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001874.1,500,34.07030347932095,28.732653169631625,16.02380361778516,20.297444952820864,44.74192014876578,71.19399571663699,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001875.1,500,6.116200043207909,4.406860722049071,2.0473318711806825,2.737088817849684,8.091938714769501,16.648730191949998,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001901.1,500,33.91318231554336,28.58989653564251,15.97376809706884,20.218519780950317,44.49902651577344,70.90239042774309,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001902.1,500,33.93477652743789,28.612853677908205,15.995231509736916,20.243660737690046,44.52020335002125,70.92048007664143,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001911.1,500,33.68541221573568,28.3490320204355,15.752887198704302,19.97327753500434,44.27111107744806,70.70310293156828,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001912.1,500,33.674786874592,28.337855340855562,15.742838097821448,19.96186313871389,44.26026858122188,70.69341289636188,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001913.1,500,34.980104890958096,29.71663196552766,17.00020410611783,21.396478775075792,45.58875890507767,71.84456223025809,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001914.1,500,34.70514668744901,29.421765976324913,16.716139157952774,21.075798336857265,45.3137840658869,71.63162108114709,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001915.1,500,34.712383923916256,29.429537560565464,16.7236620370041,21.084134215723257,45.32061721852821,71.63716018852857,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001916.1,500,34.97128517715524,29.70725005458971,16.991430732123746,21.386199259767892,45.57926846854591,71.83723028565879,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001919.1,500,10.223267690367752,8.164031024415502,5.07661128976105,6.407450447593511,12.480400571458258,22.775256828455838,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001920.1,500,10.200771228292055,8.14374634735277,5.058562568462124,6.387832133269569,12.45548791466955,22.743476207811877,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001921.1,500,9.637622919089686,7.63660798544784,4.651543370702085,5.875567284264957,11.859313026762136,21.943307941616595,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001922.1,500,9.622241960813149,7.6227559175004505,4.639213037698366,5.86139452664284,11.844080088310218,21.921490515712325,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001923.1,500,9.18113851507048,7.226102421494124,4.30109035547687,5.448759929062214,11.363467423618154,21.291113894048046,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001924.1,500,9.162731009881215,7.2095482565950935,4.288903154749246,5.431263364573113,11.342135702656444,21.264849639958648,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001925.1,500,8.945351116095901,7.010570445199344,4.1526293565576395,5.251526082106301,11.081296465178442,20.89786264318976,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001926.1,500,8.897027088656538,6.968306489779979,4.123035103094018,5.21505796191571,11.022546694120882,20.808027490335952,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001929.1,500,36.199310693007504,31.00345742641602,18.10269399333668,22.708828593006686,46.91731168209402,72.89779506858326,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001936.1,500,35.040197726648785,29.779586150697508,17.055682493962763,21.45818192421018,45.655974571673994,71.90091936512985,Daily-averaged
North,Biofilm Adsorption + Biodegradation,345X0001937.1,500,35.06044831266587,29.801291685151654,17.076550862013384,21.478398636238136,45.67733308685781,71.91666607409253,Daily-averaged
North,Biofilm Adsorption + Biodegradation,355X00001001.1,500,1.183891198534187,0.7948099986824275,0.3182453919978817,0.4521723650498993,1.6005381510297152,3.4902102246059847,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000003.3,500,11.675815250324796,8.622326576695471,4.004292792781519,5.368937450806119,15.711009054238627,30.887705195287207,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000005.1,500,11.762036967734579,8.696733145605911,4.0483080023840525,5.421931377712449,15.815696709387161,31.06749807824158,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000008.1,500,12.416936525834705,9.262354095496544,4.3684918539404904,5.813205237329781,16.613308564150792,32.43019005448071,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000114.1,500,6.824158465734565,4.888340947048764,2.2225709225142896,2.989963022306613,9.128832736094658,18.713204949720055,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000120.1,500,8.772181280432223,6.506611063037737,3.203185645065275,4.239076949998019,11.43278935831532,22.799117212726117,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000121.1,500,7.464362734214114,5.330993380544818,2.34458253426567,3.20249988088091,10.082736659237648,20.65227295397646,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000140.3,500,9.243423168925613,6.700774814435451,3.03606311323699,4.079736646610221,12.454692123691707,25.047320510832172,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000144.1,500,3.1287835267655475,2.073015749011875,0.7539859001523891,1.0961308919228223,4.303043050635971,9.385327710942688,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000160.3,500,5.800055079449351,4.2328635341555065,2.054504447787219,2.7324377727126565,7.5319713270638164,15.397026529060337,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000172.1,500,6.545422528013208,4.497658113774566,1.75351500368147,2.500319139401519,9.02423429474329,18.9220453196935,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000177.3,500,8.546887447088693,6.0836512630255966,2.613570676151416,3.6110326849546017,11.647201085765762,23.71358131677526,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000179.1,500,9.827746315714899,7.2017585763575696,3.3529661868949496,4.486355050955007,13.142691145161974,26.2398476682649,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000180.1,500,18.036568492174563,14.39376236262963,8.161338266705588,10.371326019473127,23.090352018940493,41.457825553052196,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000215.3,500,10.713914414387487,7.726476751422551,3.3369399606185937,4.603366007302132,14.668780157853528,29.299892291978463,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000227.1,500,15.049691498232592,11.49920902993522,5.689660257277379,7.522037138431329,19.848290936621794,37.65558852464386,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000230.2,500,32.163425222877805,28.900907461789984,20.184850213047753,24.374849209108305,37.30713100464646,57.36454516478539,Daily-averaged
North,Biofilm Adsorption + Biodegradation,364I000314.3,500,16.3290004938646,12.627299880196619,6.509414821145581,8.473689775568527,21.372579254220692,39.8835421270206,Daily-averaged
