simulation,location,sample_fraction,effective_surveillance_coverage_percent
47,South,Total,87.01228880847431
47,South,Solids,45.95236468780756
47,South,Liquid,42.807503676847404
47,West,Total,82.09540890893511
47,West,Solids,42.631302971464535
47,West,Liquid,42.59964964237679
48,North,Total,81.79317312891362
48,North,Solids,40.70134962673044
48,North,Liquid,39.94305428198556
48,South,Total,88.23053766331265
48,South,Solids,47.16702753049522
48,South,Liquid,40.655365983477814
48,West,Total,85.06181188119425
48,West,Solids,43.75290643216176
48,West,Liquid,40.47723583482467
49,North,Total,76.79803658921477
49,North,Solids,48.10463656335988
49,North,Liquid,29.246614773865815
49,South,Total,85.83851347149015
49,South,Solids,56.10723493228824
49,South,Liquid,29.892353248225824
49,West,Total,81.25305012298413
49,West,Solids,51.91505702402905
49,West,Liquid,29.72398628706978
50,North,Total,79.6378062947292
50,North,Solids,37.1435853463488
50,North,Liquid,43.67990476601848
50,South,Total,87.57330001800808
50,South,Solids,43.6545874697807
50,South,Liquid,44.38591999043718
50,West,Total,83.53993074564431
50,West,Solids,40.18591945467691
50,West,Liquid,44.23383687179856
51,North,Total,79.25173193458652
51,North,Solids,21.744540009812056
51,North,Liquid,59.20979780156562
51,South,Total,85.79743768834788
51,South,Solids,25.223409430398064
51,South,Liquid,60.813576442581244
51,West,Total,82.8972356483505
51,West,Solids,23.409262097713725
51,West,Liquid,60.635684218651434
52,North,Total,76.00093528328463
52,North,Solids,36.06099354240971
52,North,Liquid,42.31416055407885
52,South,Total,85.21953567331386
52,South,Solids,42.176880852899146
52,South,Liquid,43.452958219012615
52,West,Total,80.85909695484347
52,West,Solids,39.076555809391806
52,West,Liquid,43.39002573453758
53,North,Total,79.88669656156506
53,North,Solids,30.063660441806405
53,North,Liquid,49.83787882859539
53,South,Total,86.388466435676
53,South,Solids,35.30199319161183
53,South,Liquid,51.089309314313034
53,West,Total,83.52644104657615
53,West,Solids,32.6321340967861
53,West,Liquid,50.90415130449368
54,North,Total,77.09221471593598
54,North,Solids,42.65077861049226
54,North,Liquid,36.60368508808793
54,South,Total,86.30570677767892
54,South,Solids,49.921306677818635
54,South,Liquid,37.227888251518785
54,West,Total,81.6659608290824
54,West,Solids,46.188810563107126
54,West,Liquid,37.036408015567844
55,North,Total,76.62332839217002
55,North,Solids,44.21264463066833
55,North,Liquid,32.54349065245706
55,South,Total,84.48117105179043
55,South,Solids,50.28873240407026
55,South,Liquid,33.802125846147
55,West,Total,80.8091726940019
55,West,Solids,47.05858157980692
55,West,Liquid,33.74075324658059
56,North,Total,81.21023299008849
56,North,Solids,37.61985649885668
56,North,Liquid,46.89371048256556
56,South,Total,89.15589066872298
56,South,Solids,43.67608606672526
56,South,Liquid,47.15929725302979
56,West,Total,84.91847679788147
56,West,Solids,40.46948508959671
56,West,Liquid,46.9754767967131
57,North,Total,81.58321447453602
57,North,Solids,42.648342358846776
57,North,Liquid,39.02675626775276
57,South,Total,89.1805815651912
57,South,Solids,49.84921294626436
57,South,Liquid,39.374281973436325
57,West,Total,85.34311106415427
57,West,Solids,46.252233489659
57,West,Liquid,39.157809872973566
58,North,Total,81.32158236294713
58,North,Solids,41.75125924852062
58,North,Liquid,41.35157859319551
58,South,Total,88.71960335251065
58,South,Solids,47.874539858789
58,South,Liquid,41.718535599113224
58,West,Total,84.7725915268277
58,West,Solids,44.65757690092727
