location,sample_fraction,effective_surveillance_coverage_percent
North,Total,80.0851232109271
North,Solids,37.10275346445655
North,Liquid,44.519850074988064
South,Total,87.79413872122144
South,Solids,43.25261213046158
South,Liquid,45.16401680176854
West,Total,83.91022246182895
West,Solids,40.064412613862274
West,Liquid,44.96644301899356
City,Total,82.82082852405573
City,Solids,39.2747736067222
City,Liquid,44.763128832420165
