wwtp,particle_association_scenario,bin_left_proportion,bin_right_proportion,bin_mid_proportion,flow_path_count,mean_loss_proportion,median_loss_proportion
north,Skewed (Base),0.45,0.5,0.475,246370,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.15000000000000002,0.2,0.17500000000000002,437669,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.1,0.15000000000000002,0.125,414736,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.25,0.30000000000000004,0.275,315378,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.6000000000000001,0.65,0.625,100519,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.4,0.45,0.425,244640,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.7000000000000001,0.75,0.7250000000000001,67284,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.35000000000000003,0.4,0.375,251485,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.30000000000000004,0.35000000000000003,0.325,423783,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.2,0.25,0.225,297774,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.05,0.1,0.07500000000000001,724871,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.95,1,0.975,108768,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.5,0.55,0.525,133816,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.55,0.6000000000000001,0.5750000000000001,113646,0.332586617477583,0.2863700177041028
north,Skewed (Base),0,0.05,0.025,4500,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.9,0.95,0.925,44996,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.8500000000000001,0.9,0.875,54580,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.75,0.8,0.775,60662,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.65,0.7000000000000001,0.675,85193,0.332586617477583,0.2863700177041028
north,Skewed (Base),0.8,0.8500000000000001,0.8250000000000001,59830,0.332586617477583,0.2863700177041028
south,Skewed (Base),0.05,0.1,0.07500000000000001,213438,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.65,0.7000000000000001,0.675,16744,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.35000000000000003,0.4,0.375,37062,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0,0.05,0.025,436359,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.30000000000000004,0.35000000000000003,0.325,43852,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.7000000000000001,0.75,0.7250000000000001,15060,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.95,1,0.975,19788,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.6000000000000001,0.65,0.625,14664,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.15000000000000002,0.2,0.17500000000000002,29715,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.55,0.6000000000000001,0.5750000000000001,12923,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.45,0.5,0.475,38781,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.1,0.15000000000000002,0.125,35846,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.25,0.30000000000000004,0.275,18780,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.4,0.45,0.425,28767,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.2,0.25,0.225,17887,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.5,0.55,0.525,21807,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.8,0.8500000000000001,0.8250000000000001,8139,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.9,0.95,0.925,5075,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.75,0.8,0.775,9886,0.18707079442995755,0.05776392926312057
south,Skewed (Base),0.8500000000000001,0.9,0.875,5927,0.18707079442995755,0.05776392926312057
west,Skewed (Base),0.45,0.5,0.475,13319,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0,0.05,0.025,156573,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.05,0.1,0.07500000000000001,123611,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.1,0.15000000000000002,0.125,49237,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.25,0.30000000000000004,0.275,15535,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.55,0.6000000000000001,0.5750000000000001,15671,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.5,0.55,0.525,10699,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.65,0.7000000000000001,0.675,8848,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.30000000000000004,0.35000000000000003,0.325,47208,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.95,1,0.975,22979,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.9,0.95,0.925,11103,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.4,0.45,0.425,12108,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.35000000000000003,0.4,0.375,24631,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.8,0.8500000000000001,0.8250000000000001,12017,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.75,0.8,0.775,10617,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.15000000000000002,0.2,0.17500000000000002,34137,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.6000000000000001,0.65,0.625,13967,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.7000000000000001,0.75,0.7250000000000001,8566,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.8500000000000001,0.9,0.875,11180,0.2659913466371746,0.1137016534473656
west,Skewed (Base),0.2,0.25,0.225,15994,0.2659913466371746,0.1137016534473656
north,Highly Skewed,0.2,0.25,0.225,251585,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.05,0.1,0.07500000000000001,1380864,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.1,0.15000000000000002,0.125,962532,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.4,0.45,0.425,72922,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.15000000000000002,0.2,0.17500000000000002,535239,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.55,0.6000000000000001,0.5750000000000001,46614,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.95,1,0.975,94009,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.25,0.30000000000000004,0.275,145544,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.30000000000000004,0.35000000000000003,0.325,97942,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.35000000000000003,0.4,0.375,84300,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0,0.05,0.025,140865,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.8500000000000001,0.9,0.875,31299,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.9,0.95,0.925,27953,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.45,0.5,0.475,65459,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.75,0.8,0.775,40270,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.65,0.7000000000000001,0.675,39637,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.5,0.55,0.525,56851,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.7000000000000001,0.75,0.7250000000000001,39389,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.8,0.8500000000000001,0.8250000000000001,34242,0.2098305932224464,0.13292992414369076
north,Highly Skewed,0.6000000000000001,0.65,0.625,42984,0.2098305932224464,0.13292992414369076
south,Highly Skewed,0,0.05,0.025,635035,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.5,0.55,0.525,11133,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.15000000000000002,0.2,0.17500000000000002,66704,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.6000000000000001,0.65,0.625,8307,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.45,0.5,0.475,11118,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.95,1,0.975,17591,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.05,0.1,0.07500000000000001,81151,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.4,0.45,0.425,10062,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.30000000000000004,0.35000000000000003,0.325,11458,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.2,0.25,0.225,31975,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.55,0.6000000000000001,0.5750000000000001,10414,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.1,0.15000000000000002,0.125,66639,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.25,0.30000000000000004,0.275,32104,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.75,0.8,0.775,4437,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.7000000000000001,0.75,0.7250000000000001,5729,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.9,0.95,0.925,3951,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.8500000000000001,0.9,0.875,3265,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.65,0.7000000000000001,0.675,6226,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.35000000000000003,0.4,0.375,9338,0.1248917310436701,0.03880004080915678
south,Highly Skewed,0.8,0.8500000000000001,0.8250000000000001,3863,0.1248917310436701,0.03880004080915678
west,Highly Skewed,0.2,0.25,0.225,6591,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0,0.05,0.025,226129,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.05,0.1,0.07500000000000001,136872,0.18905307471923605,0.06378824793210347
west,Highly Skewed,0.1,0.15000000000000002,0.125,69191,0.18905307471923605,0.06378824793210347
