wwtp,particle_class,hydraulic_level,bin_left_proportion,bin_right_proportion,bin_mid_proportion,observation_count
south,3,Pipe,0.95,1,0.975,101408
north,1,Pipe,0.25,0.30000000000000004,0.275,31592
south,3,Pipe,0.05,0.1,0.07500000000000001,5755
south,4,Pipe,0.25,0.30000000000000004,0.275,3672
south,5,Pipe,0.5,0.55,0.525,4120
south,6,Pipe,0.8500000000000001,0.9,0.875,7598
north,3,Pipe,0.35000000000000003,0.4,0.375,32127
north,3,Pipe,0.2,0.25,0.225,33710
north,2,Pipe,0.55,0.6000000000000001,0.5750000000000001,27005
north,2,Pipe,0.9,0.95,0.925,62660
north,3,Pipe,0.55,0.6000000000000001,0.5750000000000001,31686
north,2,Pipe,0.7000000000000001,0.75,0.7250000000000001,31029
south,2,Pipe,0.30000000000000004,0.35000000000000003,0.325,4090
south,3,Pipe,0.75,0.8,0.775,4308
south,7,Pipe,0.35000000000000003,0.4,0.375,1374
south,4,Pipe,0.6000000000000001,0.65,0.625,3928
south,5,Pipe,0.9,0.95,0.925,15493
north,1,Pipe,0.30000000000000004,0.35000000000000003,0.325,26385
north,4,Pipe,0.8,0.8500000000000001,0.8250000000000001,50376
north,3,Pipe,0.75,0.8,0.775,37317
west,1,Pipe,0,0.05,0.025,546321
west,2,Pipe,0,0.05,0.025,497694
west,3,Pipe,0,0.05,0.025,451901
west,4,Pipe,0,0.05,0.025,405699
west,5,Pipe,0,0.05,0.025,355002
west,6,Pipe,0,0.05,0.025,315662
west,7,Pipe,0,0.05,0.025,288047
west,8,Pipe,0.95,1,0.975,340485
west,7,Pipe,0.2,0.25,0.225,664
west,8,Pipe,0.65,0.7000000000000001,0.675,904
west,3,Pipe,0.05,0.1,0.07500000000000001,5430
west,4,Pipe,0.30000000000000004,0.35000000000000003,0.325,2412
west,5,Pipe,0.5,0.55,0.525,2390
west,6,Pipe,0.8500000000000001,0.9,0.875,3873
west,7,Pipe,0.95,1,0.975,312832
west,4,Pipe,0.25,0.30000000000000004,0.275,2487
west,5,Pipe,0.45,0.5,0.475,2263
west,6,Pipe,0.75,0.8,0.775,2344
north,7,Pipe,0.05,0.1,0.07500000000000001,5835
north,8,Pipe,0.45,0.5,0.475,6310
north,6,Pipe,0.05,0.1,0.07500000000000001,23977
north,7,Pipe,0.4,0.45,0.425,11153
north,8,Pipe,0.8,0.8500000000000001,0.8250000000000001,14857
west,8,Pipe,0,0.05,0.025,265626
north,7,Pipe,0.7000000000000001,0.75,0.7250000000000001,17985
north,3,Pipe,0.8,0.8500000000000001,0.8250000000000001,42261
north,1,Pipe,0.1,0.15000000000000002,0.125,46322
north,2,Pipe,0.8500000000000001,0.9,0.875,46099
north,1,Pipe,0.15000000000000002,0.2,0.17500000000000002,39541
north,2,Pipe,0.8,0.8500000000000001,0.8250000000000001,37988
north,2,Pipe,0.6000000000000001,0.65,0.625,28144
west,4,Pipe,0.05,0.1,0.07500000000000001,2360
west,5,Pipe,0.15000000000000002,0.2,0.17500000000000002,2422
west,6,Pipe,0.4,0.45,0.425,971
west,7,Pipe,0.8500000000000001,0.9,0.875,1848
north,7,Pipe,0.25,0.30000000000000004,0.275,9560
north,8,Pipe,0.55,0.6000000000000001,0.5750000000000001,7473
west,4,Pipe,0.95,1,0.975,157631
west,5,Pipe,0.95,1,0.975,216283
west,6,Pipe,0.95,1,0.975,271092
north,6,Pipe,0.30000000000000004,0.35000000000000003,0.325,20780
north,6,Pipe,0.15000000000000002,0.2,0.17500000000000002,22189
north,7,Pipe,0.65,0.7000000000000001,0.675,15257
north,2,Pipe,0.1,0.15000000000000002,0.125,52090
north,3,Pipe,0.25,0.30000000000000004,0.275,33171
north,8,Pipe,0.15000000000000002,0.2,0.17500000000000002,2889
north,8,Pipe,0.8500000000000001,0.9,0.875,20784
north,1,Pipe,0.5,0.55,0.525,16669
north,7,Pipe,0.8,0.8500000000000001,0.8250000000000001,23748
north,8,Pipe,0.9,0.95,0.925,34670
north,4,Pipe,0.7000000000000001,0.75,0.7250000000000001,38285
north,7,Pipe,0.1,0.15000000000000002,0.125,6818
north,8,Pipe,0.35000000000000003,0.4,0.375,5118
