simulation,location,sample_fraction,minimum_detectable_prevalence_percent
57,North,Total,0.06768779758347417
57,North,Solids,0.13243714152236463
57,North,Liquid,0.13924099632943898
57,South,Total,0.060865784898605266
57,South,Solids,0.10954236607947673
57,South,Liquid,0.13745073586919893
57,West,Total,0.06111725269357153
57,West,Solids,0.11174342653413825
57,West,Liquid,0.1359431047754877
58,North,Total,0.06808245837153423
58,North,Solids,0.13517797793458416
58,North,Liquid,0.13141565333651323
58,South,Total,0.061175865003853844
58,South,Solids,0.11388311111578227
58,South,Liquid,0.12971906834718244
58,West,Total,0.06146092761049733
58,West,Solids,0.11585249635418218
58,West,Liquid,0.12836242495000982
59,North,Total,0.06557111995627121
59,North,Solids,0.20393663155130812
59,North,Liquid,0.09725837053511516
59,South,Total,0.06059671981480461
59,South,Solids,0.16698125083224863
59,South,Liquid,0.0954354864627428
59,West,Total,0.06023451156764839
59,West,Solids,0.17057093311291263
59,West,Liquid,0.09373901085208143
60,North,Total,0.06722294544103792
60,North,Solids,0.17270864349645532
60,North,Liquid,0.10507265361075255
60,South,Total,0.060602335590665184
60,South,Solids,0.14162849778521408
60,South,Liquid,0.10385632041723786
60,West,Total,0.060867995301190324
60,West,Solids,0.14478311761019505
60,West,Liquid,0.10283192423744456
61,North,Total,0.06660678714740909
61,North,Solids,0.17003677795842675
61,North,Liquid,0.10395135645380336
61,South,Total,0.060288261241420615
61,South,Solids,0.14073712162080512
61,South,Liquid,0.10300857908977015
61,West,Total,0.060695896224172576
61,West,Solids,0.14414999583265045
61,West,Liquid,0.10228520977292631
62,North,Total,0.06518952192714614
62,North,Solids,0.17460099806848822
62,North,Liquid,0.1025452832693619
62,South,Total,0.06014466442368064
62,South,Solids,0.1476492579219041
62,South,Liquid,0.10093597473743847
62,West,Total,0.06005928829683428
62,West,Solids,0.15030943791967127
62,West,Liquid,0.09951445566826643
63,North,Total,0.0709755566053513
63,North,Solids,0.3223995839991081
63,North,Liquid,0.08518619214001195
63,South,Total,0.06334364941517229
63,South,Solids,0.261953512580556
63,South,Liquid,0.08225710827446847
63,West,Total,0.0628685715026566
63,West,Solids,0.26816302895359145
63,West,Liquid,0.07947550057225261
64,North,Total,0.07264338789958238
64,North,Solids,0.1529273564272624
64,North,Liquid,0.11632923561171502
64,South,Total,0.06249569064798939
64,South,Solids,0.1260828531137228
64,South,Liquid,0.11507094590290927
64,West,Total,0.06345363133284013
64,West,Solids,0.12911257982374505
64,West,Liquid,0.11411533576650505
65,North,Total,0.07140943206373267
65,North,Solids,0.14269143407874554
65,North,Liquid,0.13206183749054157
65,South,Total,0.06248791457181376
65,South,Solids,0.11789525478260844
65,South,Liquid,0.12926006936157444
65,West,Total,0.06290845015525612
65,West,Solids,0.12045122954125947
65,West,Liquid,0.12663814452750247
66,North,Total,0.06836017587321379
66,North,Solids,0.16550026809383486
66,North,Liquid,0.10883133561271356
66,South,Total,0.061184880489687475
66,South,Solids,0.13655768639557841
66,South,Liquid,0.10755838895204993
66,West,Total,0.06152714154060676
66,West,Solids,0.13955297014913765
66,West,Liquid,0.1065041735241326
67,North,Total,0.0657119738612545
67,North,Solids,0.15412782409595077
67,North,Liquid,0.11454976528189034
67,South,Total,0.06020392728078815
